기준연월,지역명,관광소비액(백만원),전국 관광소비액(백만원),전국 대비 관광소비율
202501,경기도 남양주시,98849.0,1.2265511E7,0.8
202502,경기도 남양주시,85323.0,1.0767263E7,0.8
202503,경기도 남양주시,111564.0,1.2637792E7,0.9
202504,경기도 남양주시,103267.0,1.2048958E7,0.9
202505,경기도 남양주시,119873.0,1.3643478E7,0.9
202506,경기도 남양주시,106238.0,1.2161463E7,0.9
202507,경기도 남양주시,109746.0,1.2871693E7,0.9
202508,경기도 남양주시,114549.0,1.3343439E7,0.9
202509,경기도 남양주시,103361.0,1.2242182E7,0.8
202510,경기도 남양주시,124311.0,1.392232E7,0.9
202511,경기도 남양주시,117217.0,1.3465571E7,0.9
202512,경기도 남양주시,110090.0,1.3715472E7,0.8
