year_month,year,month,quarter,lodging_search_count,previous_lodging_search_count,lodging_search_growth_rate,lodging_search_count_scaled,lodging_search_growth_scaled,lodging_search_demand_score,is_lodging_search_peak_month
2025-01,2025,1,1,13393,14364,-6.8,0.03859193129167138,0.147117296222664,0.07114954077096916,0
2025-02,2025,2,1,12710,13530,-6.1,0.0,0.1610337972166998,0.04831013916500994,0
2025-03,2025,3,1,16727,17547,-4.7,0.22697479941236298,0.18886679920477137,0.21554239935008548,0
2025-04,2025,4,2,17343,19519,-11.1,0.2617809922025087,0.06163021868787277,0.20173576014811792,0
2025-05,2025,5,2,21969,24463,-10.2,0.5231664594869476,0.07952286282306165,0.39007338048778184,0
2025-06,2025,6,2,20608,23807,-13.4,0.4462651147022263,0.015904572564612307,0.3171569520609421,0
2025-07,2025,7,3,21195,20487,3.5,0.4794327042603683,0.3518886679920477,0.4411694933798721,1
2025-08,2025,8,3,23512,26328,-10.7,0.610351452141485,0.06958250497017893,0.44812076799009315,1
2025-09,2025,9,3,17033,19855,-14.2,0.24426488868798735,0.0,0.17098542208159112,0
2025-10,2025,10,4,30408,22347,36.1,1.0,1.0,1.0,1
2025-11,2025,11,4,19672,20089,-2.1,0.39337778280031643,0.24055666003976142,0.3475314459721499,0
2025-12,2025,12,4,14978,15505,-3.4,0.1281500734546276,0.2147117296222664,0.1541185703049192,0
