destination_type,total_search_count,avg_monthly_search_count,avg_search_ratio,destination_search_count_scaled,destination_search_ratio_scaled,theme_interest_score
음식,5233744,436145.0,62.54,1.0,1.0000000000000002,1.0
쇼핑,967421,80618.0,11.63,0.17468949220937624,0.17581350169985432,0.17502669505651966
문화관광,690775,57565.0,8.13,0.12117295097744304,0.11915169175975396,0.1205665732121363
기타관광,516531,43044.0,6.22,0.08746584438484106,0.08823053262101345,0.08769525085569277
레저스포츠,337861,28155.0,3.91,0.052902538130966056,0.050833738060547196,0.052281898109840394
역사관광,254671,21223.0,2.98,0.036809621316392475,0.035777885705034804,0.03650010063298517
숙박,229548,19129.0,2.71,0.031949633948529364,0.03140683179536992,0.03178679330258153
자연관광,94911,7909.0,1.1,0.005904411672249246,0.00534239922292375,0.005735807937451597
체험관광,64389,5366.0,0.77,0.0,0.0,0.0
