main_type,sub_type,main_search_ratio,sub_search_ratio,sub_total_contribution,sub_total_contribution_scaled,sub_type_weight
음식,한식,62.4,35.5,22.151999999999997,0.9999999999999999,1.0
음식,카페/찻집,62.4,32.6,20.3424,0.9183098591549297,0.9591549295774648
쇼핑,쇼핑몰,11.5,98.7,11.3505,0.5123916576381365,0.7561958288190682
음식,전문음식,62.4,17.9,11.169599999999997,0.5042253521126759,0.7521126760563379
기타관광,교통시설,6.2,99.2,6.150400000000001,0.2776453593355002,0.6388226796677501
음식,간이음식,62.4,8.3,5.179200000000001,0.2338028169014085,0.6169014084507043
음식,외국식,62.4,4.8,2.9951999999999996,0.1352112676056338,0.5676056338028169
레저스포츠,육상레저스포츠,4.0,67.7,2.708,0.12224629830263635,0.5611231491513182
문화관광,도시공원,8.2,31.2,2.5584,0.11549295774647887,0.5577464788732395
역사관광,종교성지,3.0,66.3,1.9889999999999999,0.0897887323943662,0.5448943661971831
문화관광,테마공원,8.2,19.3,1.5826,0.07144275911881547,0.5357213795594077
문화관광,공연시설,8.2,18.9,1.5497999999999996,0.06996208017334776,0.5349810400866739
문화관광,레저스포츠시설,8.2,17.6,1.4432,0.06514987360057783,0.5325749368002889
역사관광,역사유적지,3.0,33.7,1.0110000000000001,0.04563921993499459,0.5228196099674973
숙박,모텔,2.7,31.4,0.8478,0.038271939328277355,0.5191359696641387
레저스포츠,기타레저스포츠,4.0,18.1,0.7240000000000001,0.032683279162152405,0.5163416395810762
숙박,호텔,2.7,26.1,0.7047000000000001,0.03181202600216685,0.5159060130010834
숙박,캠핑,2.7,23.4,0.6318,0.028521126760563384,0.5142605633802817
레저스포츠,수상레저스포츠,4.0,14.2,0.568,0.02564102564102564,0.5128205128205128
문화관광,전시시설,8.2,6.9,0.5658,0.025541711809317445,0.5127708559046588
음식,음식점기타,62.4,0.9,0.5616,0.02535211267605634,0.5126760563380282
숙박,펜션/민박,2.7,16.8,0.45360000000000006,0.020476706392199354,0.5102383531960997
자연관광,자연공원,1.1,36.2,0.39820000000000005,0.017975803539183825,0.508987901769592
자연관광,자연경관(산),1.1,34.5,0.3795,0.01713163596966414,0.508565817984832
체험관광,웰니스관광,0.8,45.4,0.3632,0.016395810762007947,0.508197905381004
체험관광,농/산/어촌체험,0.8,40.8,0.3264,0.014734561213434454,0.5073672806067172
자연관광,자연경관(하천/해양),1.1,29.3,0.32230000000000003,0.014549476345250995,0.5072747381726255
문화관광,기타문화관광지,8.2,3.9,0.3198,0.014436619718309859,0.507218309859155
문화관광,복합관광시설,8.2,2.2,0.1804,0.00814373420007223,0.5040718671000362
쇼핑,시장,11.5,1.3,0.14950000000000002,0.006748826291079813,0.5033744131455399
체험관광,체험관광기타,0.8,12.2,0.09759999999999999,0.004405922715781871,0.5022029613578909
숙박,호스텔,2.7,2.3,0.0621,0.0028033586132177684,0.5014016793066088
기타관광,기타관광,6.2,0.8,0.049600000000000005,0.0022390754785120985,0.5011195377392561
체험관광,공예체험,0.8,1.7,0.013600000000000001,0.0006139400505597689,0.5003069700252799
문화관광,도시/지역문화관광,8.2,0.1,0.008199999999999999,0.0003701697363669194,0.5001850848681835
쇼핑,기타쇼핑시설,11.5,0.0,0.0,0.0,0.5
레저스포츠,항공레저스포츠,4.0,0.0,0.0,0.0,0.5
숙박,기타숙박,2.7,0.0,0.0,0.0,0.5
기타관광,데이트코스,6.2,0.0,0.0,0.0,0.5
