business_type,local_search_ratio,external_search_ratio,search_ratio_diff,search_ratio_diff_abs,visitor_interest_type,local_search_ratio_scaled,external_search_ratio_scaled,local_interest_weight,external_interest_weight,visitor_type_separation_score
음식,61.2,63.1,-1.8999999999999986,1.8999999999999986,외지인 관심 우세,1.0,1.0,1.0,1.0,0.3529411764705879
쇼핑,10.0,12.5,-2.5,2.5,외지인 관심 우세,0.1551155115511551,0.1864951768488746,0.5775577557755776,0.5932475884244373,0.4705882352941176
기타관광,9.3,4.1,5.200000000000001,5.200000000000001,현지인 관심 우세,0.14356435643564355,0.05144694533762057,0.5717821782178217,0.5257234726688103,1.0
문화관광,8.8,7.9,0.9000000000000004,0.9000000000000004,현지인 관심 우세,0.1353135313531353,0.11254019292604503,0.5676567656765676,0.5562700964630225,0.1568627450980393
레저스포츠,3.5,4.4,-0.9000000000000004,0.9000000000000004,외지인 관심 우세,0.04785478547854785,0.05627009646302251,0.5239273927392739,0.5281350482315113,0.1568627450980393
숙박,2.7,2.8,-0.09999999999999964,0.09999999999999964,외지인 관심 우세,0.034653465346534656,0.030546623794212212,0.5173267326732673,0.5152733118971061,0.0
역사관광,2.6,3.3,-0.6999999999999997,0.6999999999999997,외지인 관심 우세,0.033003300330033,0.03858520900321542,0.5165016501650165,0.5192926045016077,0.11764705882352938
자연관광,1.2,1.1,0.09999999999999987,0.09999999999999987,현지인 관심 우세,0.0099009900990099,0.003215434083601287,0.504950495049505,0.5016077170418006,4.5102810375396984e-17
체험관광,0.6,0.9,-0.30000000000000004,0.30000000000000004,외지인 관심 우세,0.0,0.0,0.5,0.5,0.03921568627450987
