지역코드,지역명,평균 체류시간,평균 숙박일수
41111,수원시 장안구,852.0,2.99
41113,수원시 권선구,1054.0,2.98
41115,수원시 팔달구,595.0,2.63
41117,수원시 영통구,925.0,3.04
41131,성남시 수정구,925.0,2.98
41133,성남시 중원구,1026.0,2.84
41135,성남시 분당구,887.0,3.08
41150,의정부시,1384.0,3.03
41171,안양시 만안구,971.0,2.95
41173,안양시 동안구,1113.0,3.04
41192,부천시 원미구,911.0,2.97
41194,부천시 소사구,960.0,3.06
41196,부천시 오정구,812.0,3.01
41210,광명시,811.0,2.98
41220,평택시,1861.0,3.04
41250,동두천시,1266.0,2.9
41271,안산시 상록구,1357.0,3.01
41273,안산시 단원구,1115.0,2.72
41281,고양시 덕양구,991.0,3.05
41285,고양시 일산동구,872.0,3.0
41287,고양시 일산서구,901.0,3.01
41290,과천시,601.0,3.13
41310,구리시,627.0,2.92
41360,남양주시,1238.0,2.97
41370,오산시,1276.0,3.01
41390,시흥시,1198.0,2.93
41410,군포시,1179.0,3.04
41430,의왕시,681.0,2.97
41450,하남시,802.0,3.04
41461,용인시 처인구,1185.0,2.82
41463,용인시 기흥구,1068.0,3.1
41465,용인시 수지구,1300.0,3.15
41480,파주시,1393.0,2.99
41500,이천시,1246.0,2.92
41550,안성시,1138.0,2.92
41570,김포시,1307.0,3.02
41610,광주시,1433.0,3.03
41630,양주시,1211.0,2.91
41650,포천시,1266.0,2.68
41670,여주시,971.0,2.7
41800,연천군,1271.0,2.67
41820,가평군,965.0,2.3
41830,양평군,933.0,2.48
